ID,Predicted Value
258,Twain
259,Twain
260,Alcott
261,Alcott
262,Doyle
263,Alcott
264,Alcott
265,Doyle
266,Alcott
267,Doyle
268,Alcott
269,Alcott
270,Alcott
271,Collins
272,Alcott
273,Alcott
274,Alcott
275,Alcott
276,Alcott
277,Twain
278,Twain
279,Alcott
280,Alcott
281,Twain
282,Alcott
283,Alcott
284,Alcott
285,Doyle
286,Alcott
287,Alcott
288,Alcott
289,Bronte
290,Alcott
291,Collins
292,Alcott
293,Collins
294,Alcott
295,Alcott
296,Doyle
297,Twain
298,Alcott
299,Alcott
300,Twain
301,Twain
302,Collins
303,Doyle
304,Alcott
305,Twain
306,Twain
307,Alcott
308,Alcott
309,Doyle
310,Alcott
311,Alcott
312,Alcott
313,Twain
314,Alcott
315,Alcott
316,Doyle
317,Alcott
318,Twain
319,Doyle
320,Collins
321,Doyle
322,Alcott
323,Alcott
324,Doyle
325,Alcott
326,Alcott
327,Doyle
328,Twain
329,Alcott
330,Alcott
331,Alcott
332,Alcott
333,Collins
334,Twain
335,Doyle
336,Doyle
337,Alcott
338,Alcott
339,Alcott
340,Alcott
341,Alcott
342,Doyle
343,Doyle
344,Doyle
345,Alcott
346,Twain
347,Alcott
348,Alcott
349,Twain
350,Twain
351,Collins
352,Bronte
353,Bronte
354,Alcott
355,Collins
356,Twain
357,Bronte
358,Alcott
359,Alcott
360,Alcott
361,Alcott
362,Doyle
363,Alcott
364,Alcott
365,Alcott
366,Alcott
367,Twain
368,Alcott
369,Collins
370,Doyle
371,Alcott
372,Alcott
373,Alcott
374,Bronte
375,Doyle
376,Alcott
377,Alcott
378,Alcott
379,Alcott
380,Doyle
381,Alcott
382,Collins
383,Collins
384,Twain
385,Alcott
386,Alcott
387,Twain
388,Alcott
389,Alcott
390,Twain
391,Alcott
392,Alcott
393,Doyle
394,Alcott
395,Twain
396,Collins
397,Doyle
398,Alcott
399,Bronte
400,Doyle
401,Twain
402,Collins
403,Alcott
404,Alcott
405,Twain
406,Alcott
407,Twain
408,Alcott
409,Alcott
410,Alcott
411,Alcott
412,Twain
413,Twain
414,Alcott
415,Alcott
416,Doyle
417,Bronte
418,Alcott
419,Alcott
420,Alcott
421,Doyle
422,Alcott
423,Doyle
424,Alcott
425,Alcott
426,Alcott
427,Alcott
428,Alcott
429,Alcott
430,Alcott
431,Twain
432,Doyle
433,Alcott
434,Alcott
435,Twain
436,Alcott
437,Doyle
438,Alcott
439,Alcott
440,Alcott
441,Doyle
442,Alcott
443,Doyle
444,Alcott
445,Twain
446,Collins
447,Doyle
448,Twain
449,Doyle
450,Twain
451,Twain
452,Twain
453,Doyle
454,Alcott
455,Alcott
456,Alcott
457,Alcott
458,Twain
459,Doyle
460,Alcott
461,Alcott
462,Twain
463,Alcott
464,Alcott
465,Alcott
466,Alcott
467,Collins
468,Alcott
469,Alcott
470,Alcott
471,Alcott
472,Doyle
473,Collins
474,Collins
475,Alcott
476,Collins
477,Alcott
478,Alcott
479,Alcott
480,Bronte
481,Collins
482,Doyle
483,Collins
484,Alcott
485,Alcott
486,Alcott
487,Doyle
488,Doyle
489,Collins
490,Doyle
491,Doyle
492,Alcott
493,Doyle
494,Alcott
495,Collins
496,Doyle
497,Alcott
498,Alcott
499,Alcott
500,Collins
501,Alcott
502,Alcott
503,Alcott
504,Bronte
505,Alcott
506,Doyle
507,Alcott
508,Collins
509,Collins
510,Alcott
511,Twain
512,Alcott
513,Alcott
514,Alcott
515,Twain
516,Bronte
517,Twain
518,Alcott
519,Alcott
520,Collins
521,Alcott
522,Doyle
523,Alcott
524,Alcott
525,Twain
526,Alcott
527,Alcott
528,Alcott
529,Bronte
530,Alcott
531,Alcott
532,Alcott
533,Alcott
534,Twain
535,Alcott
536,Alcott
537,Alcott
538,Alcott
539,Alcott
540,Alcott
541,Twain
542,Alcott
543,Alcott
544,Alcott
545,Alcott
546,Alcott
547,Doyle
548,Doyle
549,Alcott
550,Alcott
551,Twain
552,Twain
553,Twain
554,Alcott
555,Alcott
556,Doyle
557,Alcott
558,Alcott
559,Twain
560,Collins
561,Alcott
562,Doyle
563,Alcott
564,Doyle
565,Alcott
566,Doyle
567,Alcott
568,Alcott
569,Collins
570,Collins
571,Doyle
572,Alcott
